startTime,endTime,speaker,contentType,transcript,disfluency1,disfluency2,translation
57.926888,59.214448,0,music,,,,
59.214448,60.634375,1,speech,"Hello Saurabh! कैसे हैं आप?",,,"Hello Saurabh! How are you?"
60.634375,62.463433,3,speech,"एक दम बढ़िया, Khyati तुम बताओ",,,"Very good. Khyati, you tell."
62.56532,67.036077,2,speech,"बस सब सही चल रहा है, आज हम किस विषय पे बातें करने वाले हैं",,,"Everything is going well. Which topic shall we discuss today?"
67.180476,88.744104,1,speech,"हां aa तो बहुत दिन हो गए जैसे हमारे Puliyabaazi श्रोता है हमेशा कहते रहते बहुत दिन हो गए कोई technical Puliyabaazi नहीं हुई तो दिन हो गया है उसका अ काफी दिन हो गया है और आज कल technical चीज़ो के बारे में कितनी बात भी हो रही है चाहे अभी Chandrayaan की बात हो रही थी कुछ दिनों पहले, उसके पहले semiconductors की तो आजकल रोज़ ही बात हो रही है",0100000000000000000000000111101000000000000000000000000000000000000000000,,"Yes, so it has been so long that's our Puliyabaazi listeners says there has been no technical Puliyabaazi for a long time. So it took too long and nowadays, so many discussions are happening on technical things, just like Chandrayaan was a recent topic of discussion and Semiconductor is being discussed like everyday."
88.925108,104.78446,1,speech,"और अभी हाल ही में National Research Foundation bill भी आ रहा है aa Parliament मे तो Science & Technology research पर वो काफी aa ब बड़ा step कहा जा रहा है तो aa इसी से जुड़ी हुई कोई technical Puliyabaazi करवाओ आज Khyati",00000000000001000000000011000000010000000000,,"And recently the National Research Foundation bill is also coming into the parliament, so it is being said that it is a very big step on science & technology research. So Khyati, today get some technical analysis done on this topic of Puliyabaazi."
104.823119,121.780276,2,speech,"Hmm [LAUGH] हां तो इस इस या तो technical Puliyabaazi करने के लिए आज हमारे साथ perfect guest जुड़ने वाली है हमारे साथ आज जुड़ रही है Dr. aa Sonali Das Gupta जो applied photonics technology के छेत्र मे carrier research scientist रह चुकी है",110001110000000000000111111010000000000000000,,"Yes, so today a perfect guest, Dr. Sonali Das Gupta will be joining with us to do this technical Puliyabaazi, who has been a carrier research scientist in the field of Applied Photonics Technology."
121.845122,138.33323,2,speech,"और अब वो एक aa founder director है STEMonsters की जो एक organisation है जिसके द्वारा वो aa हमारी युवा पीड़ी को stem education के प्रति और उत्साह बड़े ये कोशिश कर रही है, so welcome Sonali Puliyabaazi में जुड़ने के लिए शुक्रिया",0000100000000000010000000000000000000000000,,"Now she is a founder and director of STEMonsters, a organization through which she is trying to more encourage our young generation for stem education. So, welcome Sonali. Thanks for joining Puliyabaazi."
138.826594,145.204229,4,speech,"Thank you very much Khyati, धन्यवाद आपने इतना अच्छा introduction दिया कि मुझे तो और कुछ बोलना ही नहीं पड़ेगा शायद",000001000000000000000,,"Thank you very much Khyati, for giving such a beautiful introduction, that probably I need not to add anything extra to it."
145.986392,149.199212,2,overlap,,,,
