orderNo,startTime,endTime,speaker,contentType,transcript,disfluency1,disfluency2,translation
1,147.523598,148.34076,2,speech,"Hi Deepti గారు",NULL,NULL,"Hi Mrs. Deepti"
2,148.517444,149.000238,1,speech,Hello,001,NULL,"Hello how"
3,149.000238,149.842572,2,overlap,NULL,NULL,NULL,NULL
4,149.842572,154.281752,2,speech,"great and welcome to the second female guest in our Raw Talks Show [LAUGH]",00000000000001,NULL,"Great and welcome to the second female guest in our Raw Talks Show"
5,154.377456,154.988487,1,overlap,NULL,NULL,NULL,NULL
6,154.988487,155.923439,2,speech,"yeah you  అ మా",00111,NULL,"Yeah, you"
7,155.923439,156.297052,1,overlap,NULL,NULL,NULL,NULL
8,156.297052,157.808066,1,speech,"guest female guest ఇవన్నీ ఎందుకు",10000,NULL,"Why all these female guests?"
9,157.885365,159.000436,2,laugh,NULL,NULL,NULL,NULL
10,159.000436,160.093913,2,speech,"ఇది twenty first podcastఉ",NULL,NULL,"This is the twenty first podcast"
11,160.127041,160.399428,1,speech,अच्छा,NULL,NULL,Okay
12,160.399428,162.696318,2,speech,"ఇందులో only two guests two female guestలని తీస్కరాగలిగాం మేము",001100000,NULL,"We are able to bring only two female guests to this."
13,162.725765,163.064409,1,overlap,NULL,NULL,NULL,NULL
14,163.064409,165.637366,2,speech,"because of అంటే మా మా filtration process కొంచం different ఉంటది",0110100001,NULL,"Because our filtration process is slightly different"
15,165.666814,165.913435,1,speech,अच्छा,NULL,NULL,Ok
16,165.913435,166.090119,2,overlap,NULL,NULL,NULL,NULL
17,166.090119,169.561219,2,speech,"మా approach కూడా cold outreach కూడా కొంచం ఆ అ speedup చేసాం ఇప్పుడు",001001011000,NULL,"Now we speed up our approach and cold outreach a little."
18,169.594347,170.094951,1,speech,अच्छा,NULL,NULL,okay
19,170.109675,172.347669,2,speech,"So we have been planned to get more female guests onto our show",NULL,NULL,"So we have planned to get more female guests onto our show."
20,172.347669,172.91453,1,speech,"more guests",NULL,NULL,"More guests"
21,173.40041,173.750097,2,cough,NULL,NULL,NULL,NULL
22,173.750097,174.979521,1,speech,"I will keep on saying this",NULL,NULL,"I will keep on saying this"
23,174.983202,175.568467,1,cough,NULL,NULL,NULL,NULL
24,175.572148,176.186861,2,overlap,NULL,NULL,NULL,NULL
25,176.186861,179.429744,1,speech,"You need all perspectives yeah it's not  male female ఇవన్నీ పెట్టుకుంటే gender",0000100000111,NULL,"You need all perspectives; it's not male or female."
26,179.429744,180.453038,2,overlap,NULL,NULL,NULL,NULL
27,180.453038,181.277562,1,speech,"Narrow everything హా",001,NULL,"Narrow everything"
28,181.277562,189.261461,2,speech,"నేను actualగ మీ మీ interviews  చాలా చూసాను purposeful గా అంటున్నాను కావాలని మీరు ఆ women ఆ empowerment అనేది  నాకు నచ్చదు అనడం ఇట్లాంటివన్నీ  చూసా నేను",00110000111101010000000000,NULL,"I've actually watched a lot of your interviews, and I've seen things like this where you say I don't like women's empowerment."
29,189.412378,189.861449,1,overlap,NULL,NULL,NULL,NULL
30,189.861449,190.461438,1,speech,"Built in chip",NULL,NULL,"Built in chip"
31,190.487204,191.319091,2,laugh,NULL,NULL,NULL,NULL
32,191.319091,192.196484,2,overlap,NULL,NULL,NULL,NULL
